,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
93,-3.1469216,13.505991,3.972662,3.7041514,-2.9368806,15.801331,5.0513783,4.511509,-4.2234674,13.446784,3.7850413,-3.102105,16.743345,4,April,2023
94,-4.6769266,14.290642,4.444696,0.5266778,-0.24734563,16.027256,8.160553,5.9927006,-4.60252,15.706588,2.9654622,-2.6047704,17.112612,5,April,2023
95,-0.37410563,13.897471,3.0491004,4.909538,0.92182714,16.663027,7.7602296,0.61465514,-0.8921161,15.117318,3.1826274,3.9137044,14.709926,6,April,2023
96,1.0089037,14.981747,6.547264,7.5898213,1.5560918,15.75811,7.8443885,0.08624064,1.9034925,19.339314,6.352962,2.963122,13.222593,7,April,2023
97,-1.0425524,19.22031,7.3253903,7.363447,2.8937879,13.839796,6.2595835,3.0157099,3.4570527,18.52045,10.204674,4.516952,9.805828,8,April,2023
98,-3.0478902,20.834614,2.666242,4.328357,3.005757,13.80645,5.6832967,3.365057,-0.0069210376,15.910153,6.4304714,5.9230237,8.809739,9,April,2023
99,-3.901172,19.11527,0.8685843,4.2011294,4.5026174,13.828716,6.8363905,3.000973,-2.738316,17.137152,4.7699842,7.6981835,8.494167,10,April,2023
100,-2.06405,16.140617,0.062195852,5.17616,4.614313,12.623606,11.163309,6.18808,-2.5036824,20.773773,3.3496113,6.2844234,8.805794,11,April,2023
101,-0.3939941,17.458277,1.102054,7.330042,6.818114,10.591549,11.156288,3.7790062,1.3223567,18.6353,5.372912,5.3151026,11.306457,12,April,2023
102,0.6841884,24.431128,4.214311,8.88962,7.6313934,10.438339,13.119711,2.3551266,-0.7305656,16.619564,3.6565719,5.400602,12.634092,13,April,2023
103,1.5158917,23.475334,8.014928,9.372532,8.633696,14.277775,11.918107,3.0328677,1.7532669,16.499178,3.2083018,4.2283545,13.234569,14,April,2023
104,4.9508286,21.12205,9.45585,10.544482,8.092035,12.762926,11.9273405,3.3052337,1.7935485,16.723501,3.6616313,4.017592,12.281545,15,April,2023
105,6.2972407,20.33212,11.992623,12.255172,7.9984818,13.108471,10.132529,2.114431,1.5488213,20.042538,6.106867,4.7586875,11.06976,16,April,2023
106,0.4923862,17.688803,14.740934,13.988077,7.4889827,16.102598,12.476437,4.485182,1.8466223,26.093288,6.9960227,5.405397,11.437603,17,April,2023
107,4.2124486,17.682919,14.300391,10.4339485,9.109991,16.702635,14.420886,6.2866397,3.832317,25.2039,9.3215,7.5579214,12.317106,18,April,2023
108,6.88827,18.161556,11.96635,9.891713,9.677611,17.108963,13.809697,3.1922507,3.6709454,23.636927,10.547254,8.570693,13.464772,19,April,2023
109,7.8547745,20.94903,12.506218,11.747812,11.077666,18.836046,15.027609,0.51035595,-4.1584506,18.83192,11.353155,9.173496,14.107545,20,April,2023
110,10.834591,18.529697,13.2280855,11.034068,12.196934,20.85007,18.584536,2.6899102,-1.6710151,20.926554,10.244913,7.493854,15.785036,21,April,2023
111,10.64707,22.699053,8.737895,13.965974,12.610458,22.144178,18.530853,2.2826016,-1.3045427,19.289726,7.672863,6.4434786,11.590049,22,April,2023
112,7.323331,26.408733,10.583983,14.358105,13.244258,18.33121,12.438532,4.391017,3.1518393,19.639374,11.123661,5.8778787,10.360482,23,April,2023
113,0.8393566,28.069574,9.693489,13.177497,14.06322,19.083601,10.859449,3.5087585,2.5657697,18.96966,10.084979,4.391885,14.414666,24,April,2023
114,2.054977,24.774752,4.2668357,14.234537,13.1012745,19.424564,12.822962,4.4012947,-0.16548623,20.146103,11.812819,4.9005895,16.240322,25,April,2023
115,1.6127144,26.795067,3.7656028,14.824361,10.729065,20.837769,14.691191,8.275071,5.1811337,17.841597,14.792994,4.445782,15.785112,26,April,2023
116,5.45201,18.82385,4.8015304,14.801209,7.8424587,21.668627,16.326511,6.2926893,5.241947,19.180555,15.938743,3.6753287,17.0064,27,April,2023
117,9.35071,16.462706,10.063867,16.178009,5.517219,23.336033,17.004225,6.5020185,3.6734824,21.113081,11.7850065,4.4886565,19.89279,28,April,2023
118,9.270621,17.118216,13.483228,14.214264,1.3067036,22.826427,17.960896,11.213468,2.7545547,18.543432,12.62901,5.2657022,20.620096,29,April,2023
119,8.21604,18.533142,16.20843,12.743062,-1.5365846,20.113293,13.373875,14.598129,5.257686,18.787481,9.543431,4.5318036,20.902025,30,April,2023
120,11.528731,19.959665,17.301878,10.476925,-1.301606,16.333042,9.960337,8.937372,4.6401277,20.48443,12.431416,3.3162937,22.234303,1,May,2023
121,9.635654,21.983654,17.753948,1.7374375,0.53184533,15.626671,9.06142,7.346713,4.886962,19.175125,20.344564,5.728004,23.552341,2,May,2023
122,1.4095496,19.70955,18.681118,1.0418978,1.6581116,11.458515,10.917403,6.582873,3.750729,20.333658,17.061188,8.382473,22.803274,3,May,2023
123,1.3501139,22.070795,15.498036,4.3941164,4.0156407,10.516855,11.81834,3.5157208,5.7821913,21.703402,14.266039,8.623752,23.146357,4,May,2023
124,3.2370791,22.629017,15.617118,7.5371776,4.2853975,10.94509,11.054177,3.4598808,6.647033,22.557127,14.283833,7.065618,25.2107,5,May,2023
125,0.79608136,20.329323,20.784714,8.193116,4.2586317,13.345259,9.202986,3.7605588,7.3409543,20.533854,10.472865,8.096909,23.640268,6,May,2023
126,1.1078595,24.049114,13.825145,10.337102,5.688573,17.161182,10.865721,8.2823715,7.366799,20.974773,8.149847,5.058431,19.217268,7,May,2023
127,7.6914167,19.53182,12.3527155,6.1734357,5.553316,18.48877,10.799721,6.8717504,5.711214,22.807673,8.793081,7.866599,19.344885,8,May,2023
128,9.4911785,20.962246,14.14148,8.602358,4.0208607,16.447752,16.348566,4.76871,3.8590326,24.511585,10.407358,8.437555,20.688211,9,May,2023
129,7.7789936,22.433847,18.483225,10.664225,3.9759533,12.481238,19.527205,8.12368,7.714728,24.428356,12.300367,11.232492,21.716642,10,May,2023
130,9.218701,23.016949,22.888153,10.939656,-1.0383207,13.532852,16.541553,7.348047,7.7014947,24.877419,12.558642,9.900938,21.517637,11,May,2023
131,12.142287,23.18396,22.941338,11.675052,-2.389009,13.442482,17.000584,13.9435625,7.447268,23.003017,15.179081,4.523991,21.673956,12,May,2023
132,13.393014,20.145493,22.515814,2.7490056,-1.7016214,17.369656,18.309906,12.417334,7.506185,22.086493,18.46635,2.8458242,19.98892,13,May,2023
133,12.050059,21.490648,24.728867,1.3092297,-0.40705338,14.186483,13.519234,7.3690906,8.497026,22.632792,22.741426,3.4372458,24.42726,14,May,2023
134,12.371731,21.39807,25.975637,4.4813356,0.061673027,12.2823515,13.705831,10.107312,8.479944,24.22467,21.58477,3.8276846,24.337603,15,May,2023
135,13.323917,22.165354,26.923002,6.5124354,2.0056498,16.212193,15.465528,9.387292,9.737199,27.195423,21.55628,3.5416403,24.229557,16,May,2023
136,12.40442,24.948034,26.434471,6.597281,2.7029831,16.830564,19.689602,7.16594,10.434653,26.611816,21.564346,5.0239673,23.050224,17,May,2023
137,16.598415,23.145018,20.393223,7.5962234,4.970429,12.10613,23.829838,7.8213186,12.752905,24.15304,24.41,5.4463987,22.756607,18,May,2023
138,16.608171,23.642979,14.671905,10.646329,6.271785,14.00882,29.284678,10.700902,11.959196,23.48916,19.44883,7.0378804,22.264328,19,May,2023
139,16.095211,27.216143,19.759535,9.837164,9.587941,14.259165,30.946836,9.731626,9.235421,24.11173,19.196476,14.371895,22.445438,20,May,2023
140,16.421484,27.199259,20.557312,10.383501,10.232079,13.405905,27.828672,11.238581,9.897741,25.983757,17.268648,16.768723,23.082092,21,May,2023
141,15.483136,27.922405,23.966278,10.138361,10.26266,15.888329,23.33322,12.897073,10.055932,25.59496,23.044153,17.325258,24.959633,22,May,2023
142,16.422287,27.986927,24.762693,10.881818,11.620146,19.251242,27.345066,12.793481,8.615742,25.551401,23.056118,14.495486,26.14281,23,May,2023
143,16.422062,27.38563,25.079435,10.690575,12.708324,21.32608,28.603933,8.933783,7.101046,27.788935,19.659399,12.631303,26.777628,24,May,2023
144,17.30036,25.306206,24.860535,11.751033,12.892691,22.416744,27.695345,7.797245,12.0220585,25.323824,18.133512,14.943323,23.979198,25,May,2023
145,17.367245,25.756727,25.611025,13.582052,13.516838,25.228016,23.707386,7.207494,11.635323,25.091537,18.212461,10.264717,23.908705,26,May,2023
146,15.736158,25.935488,24.608292,15.90327,14.411977,25.619411,12.991429,7.9876204,12.967279,25.462223,19.701918,7.9907084,24.340475,27,May,2023
147,12.446074,24.366184,18.339062,15.847391,15.871929,22.626244,14.712423,8.720902,13.341984,25.911951,23.440714,7.462899,23.724827,28,May,2023
148,12.852157,25.742212,14.867783,17.457672,17.297617,25.16312,16.968683,9.035426,11.917753,25.928764,24.703789,9.975538,24.85737,29,May,2023
149,14.900947,26.433128,16.086975,19.795694,15.069203,26.41919,18.492968,11.077083,11.469595,27.454823,25.787584,17.58684,26.291346,30,May,2023
150,15.528444,27.894014,19.241734,18.13271,10.4836,23.936457,20.75783,12.816861,11.16212,28.981672,22.698864,19.70517,26.592375,31,May,2023
151,16.169842,26.636337,21.258661,13.544127,10.2576065,24.70324,18.97741,14.011887,12.409108,26.432384,22.235577,18.575146,24.952208,1,June,2023
152,17.466572,29.173853,22.880121,10.743518,11.220366,24.056204,19.27795,13.507805,12.363187,26.442562,21.1732,16.475786,22.99708,2,June,2023
153,17.223507,29.764624,24.770569,11.904902,10.969504,24.893703,24.503374,13.491222,12.172607,25.411972,23.493233,15.456132,23.350672,3,June,2023
